"Entity","Code","World.Region.according.to.the.World.Bank","Combined.total.net.enrolment.rate..primary..both.sexes","Total.net.enrolment.rate..primary..gender.parity.index..GPI.","Learning.Adjusted.Years.of.School","Harmonized.Test.Scores","GDP.per.capita..PPP..constant.2017.international..."
"Kuwait","KWT","Middle East and North Africa",82.63321,1.2155,7.382034,383.40222,43922.63
"Kyrgyzstan","KGZ","Europe and Central Asia",89.85774,0.98988,8.652101,420.08652,4790.6587
"Laos","LAO","East Asia and Pacific",91.46712,0.98185,6.252321,368.1421,7763.9487
"Latvia","LVA","Europe and Central Asia",96.30354,1.00908,10.978801,503.86978,29575.568
"Lebanon","LBN","Middle East and North Africa",90.3769548951049,0.997059034482759,6.3352394,389.88904,13791.2705
"Lesotho","LSO","Sub-Saharan Africa",93.31062,1.00823,6.314051,392.912,2225.253
"Liberia","LBR","Sub-Saharan Africa",44.25563,1.00728,2.2065024,331.74594,1383.8281
"Lithuania","LTU","Europe and Central Asia",98.17529,1.00351,10.975232,495.8863,37179.766
"Luxembourg","LUX","Europe and Central Asia",95.03083,0.97967,9.795577,492.84784,112274.82
"Macao","MAC","East Asia and Pacific",96.39553,0.99189,11.573814,560.6135,54916.156
"Madagascar","MDG","Sub-Saharan Africa",95.60378,1.04827,4.713441,350.77332,1436.2069
"Malawi","MWI","Sub-Saharan Africa",90.3769548951049,1.03835,5.5056524,359.48407,1489.6014
"Malaysia","MYS","East Asia and Pacific",99.64564,1.00694,8.889285,445.67532,25852.19
"Mali","MLI","Sub-Saharan Africa",58.94142,0.89922,2.5783932,307.36496,2123.8281
"Malta","MLT","Middle East and North Africa",99.53764,1.0092,10.193024,474.435,41753.812
"Marshall Islands","MHL","East Asia and Pacific",73.15121,0.97728,5.659488,375.0297,5724.7295
"Mauritania","MRT","Sub-Saharan Africa",79.5744,1.04983,4.2314367,342.09357,5236.41
"Mauritius","MUS","Sub-Saharan Africa",94.80512,1.02832,9.405725,472.7672,20231.852
"Mexico","MEX","Latin America and Caribbean",95.30064,1.01387,8.824254,430.06512,18639.662
"Moldova","MDA","Europe and Central Asia",86.31417,0.98117,8.288821,438.62094,11848.899
"Mongolia","MNG","East Asia and Pacific",97.69756,0.98545,9.153257,434.61868,11666.779
"Montenegro","MNE","Europe and Central Asia",96.54847,0.99988,8.9080925,436.12973,18259.084
"Morocco","MAR","Middle East and North Africa",99.09904,1.00816,6.3176813,380.4052,7546.7163
"Mozambique","MOZ","Sub-Saharan Africa",93.92934,0.97336,4.471788,368.2436,1237.946
"Myanmar","MMR","East Asia and Pacific",97.93192,0.96082,6.787967,424.6313,4708.5596
"Namibia","NAM","Sub-Saharan Africa",97.48892,1.03137,6.106065,406.66187,9041.77
"Nauru","NRU","East Asia and Pacific",93.69858,0.98527,6.5116167,346.62967,10812.89
